,datetime,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude 
0,10/10/2012 20:00,moundville,AL,us,changing,240,4 minutes,Orange fiery lighting objects changing locations.,10/30/2012,32.9975000,-87.63
1,10/13/2011 20:38,gurley,AL,us,diamond,480,6 to 8 mins,Super bright star shaped light&#44 desending straight down in slow desent as seen from Gurley&#44 Al,10/19/2011,34.7016667,-86.3758333
2,10/13/2012 06:30,cedar bluff,AL,us,circle,240,3-4 minutes,Bright star like ufo.,10/30/2012,34.2200000,-85.6077778
3,10/14/2011 20:35,eufaula,AL,us,light,25,25 secs,A large extremely bright silent white light moved on straight track from due south horizon to north and changed to a red dot then disap,10/25/2011,31.8911111,-85.1455556
4,10/15/2011 19:00,toney,AL,us,circle,1800,less than 30 mins.,Several orb like thing 5 white 1 red,1/12/2012,34.8980556,-86.73361109999999
5,10/17/2012 03:20,birmingham,AL,us,light,900,15 minutes,Blue and red light&#44 other object(s),10/30/2012,33.5205556,-86.8025
6,10/20/2011 21:15,orange beach,AL,us,circle,240,3-4 mins.,Set of three lights floating over the Gulf of Mexico,10/25/2011,30.2941667,-87.5736111
7,10/21/2011 19:00,pelham (valleydale exit getting onto i-65 n),AL,us,circle,720,10-12 minutes,Objects of light&#44 with a tail falling from the sky&#44 then stopping mid-fall and moving independently around the area unlike an aircraft.,10/25/2011,33.2855556,-86.81
8,10/21/2011 19:30,ardmore,AL,us,light,900,15 minutes,Saw a light that appeared to be a star&#44 but was moving very erraticaly before shooting off directly north.,10/25/2011,34.9919444,-86.8469444
9,10/23/2013 02:00,parrish alabama,AL,,light,180,1-3 minutes,Star like light moves across the sky for 1-3mins,11/11/2013,33.730664,-87.284447
10,10/26/2011 20:10,hamilton,AL,us,diamond,300,5 minutes,Orange Diamond shaped object,12/12/2011,34.1422222,-87.98861109999999
11,10/26/2011 20:15,hamilton,AL,us,light,180,2-3mins,Single bright orange light&#44 slow moving&#44 solid flight path&#44 no loss of altitude noticeable&#44 no sound,12/12/2011,34.1422222,-87.98861109999999
12,10/27/2011 17:00,tuscaloosa,AL,us,circle,60,1 minute,block dot,12/12/2011,33.2097222,-87.5691667
13,10/4/2013 21:55,madison,AL,us,circle,300,5 minutes,Attached video.  Yes Not quality but it shows what was seen.  Don&#39t laugh.,10/14/2013,34.6991667,-86.7483333
14,10/4/2013 21:55,madison,AL,us,cylinder,300,5 minutes,UFO sighting&#44 Madison&#44 AL Friday 4 October 2013,10/14/2013,34.6991667,-86.7483333
15,10/5/2013 21:15,daphne,AL,us,light,23,23 seconds,Formation of 10-15 bright white lights moving east to northwest over Daphne&#44 Alabama.,10/14/2013,30.6033333,-87.90361109999999
16,10/6/2013 23:11,opelika,AL,us,flash,2,2 seconds,A large bright flash&#44 then moments later a &#39V&#39 shaped light int he sky,10/14/2013,32.6452778,-85.3783333
17,10/8/2013 18:30,mobile,AL,us,oval,2700,45 minutes,Persistant&#44 stationary white roundish object. Remained in sky for approx 45 min before graying out and disappeared.,11/11/2013,30.6941667,-88.0430556
18,11/1/2012 21:00,oneonta,AL,us,triangle,120,2 minutes,Immediate u- turn. no noise.,11/4/2012,33.9480556,-86.47277779999999
19,11/13/2012 05:37,birmingham,AL,us,egg,180,2-3 minutes,Metallic object rolling across morning sky,11/19/2012,33.5205556,-86.8025
20,11/13/2012 22:00,mussel shoals,AL,,circle,120,hour,Round&#44 flashing lights hovering in the same spot 2 nights in a row.  ((NUFORC Note:  Possible sighting of Sirius.  PD)),11/19/2012,38.51529,-84.709841
21,11/16/2011 20:00,irvington,AL,us,circle,600,5-10 mins,Reddish orange lights fading and reappearing in different spots of the sky.,12/12/2011,30.5066667,-88.23388890000001
22,11/18/2012 06:40,birmingham,AL,us,unknown,30,30 seconds,Fast Light Moving.,11/19/2012,33.5205556,-86.8025
23,11/18/2013 11:30,pelham,AL,us,light,600,10 minutes,Small pulsing light.  Moved across entire sky.,11/20/2013,33.2855556,-86.81
24,11/19/2012 19:00,irondale,AL,us,light,30,30 seconds,Very distant&#44 silent&#44 faint and quick moving light eased across the southern sky.,12/20/2012,33.5380556,-86.7072222
25,1/1/2014 00:00,trussville,AL,us,light,300,5 minutes,These were not planes I know this for a fact.,1/16/2014,33.6197222,-86.60888890000001
26,1/1/2014 00:20,hokes bluff,AL,us,circle,600,10 minutes,I saw a bright red object on 1/1/2014 approximately 12:20 I recorded part of it before it just blinked and went out.,1/10/2014,33.9980556,-85.8663889
27,11/20/2011 22:00,millbrook,AL,us,egg,10,10 seconds,2 night sky Camoflaged &quot;things&#33&quot;,12/23/2013,32.4797222,-86.3619444
28,11/21/2012 21:30,jasper,AL,us,fireball,15,~15 seconds,While driving home last night on Highway 69&#44 my girlfriend and I saw a fireball streak across the sky.,12/20/2012,33.8311111,-87.2775
29,1/12/2011 23:00,mobile,AL,us,flash,300,5 minutes,ufos playing in the night sky near the southern cross star cluster,1/31/2011,30.6941667,-88.0430556
30,1/12/2014 13:35,huntsville,AL,us,disk,480,8 minutes,Daylight-Saucer with cloud and two other lights.,1/16/2014,34.7302778,-86.5861111
31,11/24/2012 04:00,anniston,AL,us,light,180,hours,Old fort in Anniston alabama bright light.,12/20/2012,33.6597222,-85.8316667
32,11/24/2012 20:25,montgomery,AL,us,circle,300,5 minutes,Four glowing orbs present in the night sky&#44 traveling not spontaneously&#44 and making no noise.,12/20/2012,32.3666667,-86.3
33,11/27/2013 22:40,guntersville,AL,us,formation,600,10 minutes,Orange orbs going south.,12/2/2013,34.3580556,-86.29472220000001
34,11/3/2013 19:00,huntsville,AL,us,light,120,2 minutes,Reddish orang light.,11/11/2013,34.7302778,-86.5861111
35,11/5/2013 24:00,silverhill,AL,us,cylinder,600,10 minutes,Odd vertical light hovers up and down&#44 repeat sighting.,11/11/2013,30.5452778,-87.7516667
36,1/15/2014 17:45,mountain brook,AL,us,light,120,1-2 minutes,Pulsing light hovering&#44 stationary and moving slowly over busy rush hour traffic - NOT a helicopter.,1/16/2014,33.5008333,-86.7522222
37,1/15/2014 19:30,birmingham,AL,us,formation,60,~1 minutes,Red and white lights appearing to be connected.  Large string of lights.,1/16/2014,33.5205556,-86.8025
38,11/6/2011 06:30,dothan,AL,us,light,600,10 min,Short sighting in front of clouds dull natural colored light,12/12/2011,31.2230556,-85.3905556
39,11/6/2013 19:30,dothan,AL,us,circle,10,10 seconds,Unidentified flying object seen.,11/11/2013,31.2230556,-85.3905556
40,11/6/2013 19:30,wadley,AL,us,sphere,120,2 minutes,Four  large orange lights that made no sound float directly over the local High School&#44 one blinked out and one made a 90 degree turn.,11/11/2013,33.1213889,-85.5663889
41,1/16/2014 18:27,birmingham,AL,us,formation,40,40 seconds,Rotating lights moving rapidly across the sky.,1/16/2014,33.5205556,-86.8025
42,11/7/2013 18:30,mobile,AL,us,light,60,~1 minute,Bright and silent LED-light like object drifting through evening sky&#44 lights fade and object eventually disappears.,11/11/2013,30.6941667,-88.0430556
43,1/20/2013 21:00,flomaton,AL,us,circle,600,10 minutes,3 orange lights in Alabama sky.,4/12/2013,31.0000000,-87.2608333
44,1/20/2014 19:30,madison,AL,us,triangle,60,1 minute,3 bright orange lights along side a bright white light.,1/24/2014,34.6991667,-86.7483333
45,1/21/2013 16:50,new hope,AL,us,changing,600,10 minutes,Large and small objects change shapes and colors over New Hope&#44  Alabama.,2/4/2013,34.5369444,-86.3944444
46,12/13/2012 19:15,homewood,AL,us,light,3,3 seconds,Unexplained single bright light passes overhead in Alabama suburban neighborhood.,12/20/2012,33.4716667,-86.8008333
